Here’s the first chunk as a CSV (20 artists). If this structure looks good, I’ll keep going down the list in further batches.

```csv
Name,Nationality,YearBorn,YearDied,Medium,ShortBio,YearsActive,MainMovementOrPeriod,SubMovements,ActiveCategory,ImageSearchTerm
Anthony van Dyck,Flemish,1599,1641,"painting","Flemish Baroque portraitist whose elegant images of European aristocracy, especially in England, shaped court portraiture.","c.1615–1641","Baroque","Flemish Baroque, English court portraiture",old,"Anthony van Dyck portraits"
Frans Hals,Dutch,c.1582,1666,"painting","Dutch Golden Age painter celebrated for lively, spontaneous portraits that capture fleeting expressions and social types.","c.1610–1666","Baroque","Dutch Golden Age",old,"Frans Hals portraits"
Jan van Eyck,Flemish,1390,1441,"painting","Early Netherlandish painter credited with advancing oil painting and meticulous realism in works like the Ghent Altarpiece.","c.1420–1441","Early Netherlandish","Northern Renaissance",old,"Jan van Eyck paintings"
Sandro Botticelli,Italian,1445,1510,"painting","Florentine painter of the Early Renaissance, known for poetic mythologies such as The Birth of Venus and Primavera.","c.1465–1500","Early Renaissance","Italian Renaissance",old,"Sandro Botticelli paintings"
Fra Angelico,Italian,c.1395,1455,"painting","Dominican friar and painter whose serene frescoes and altarpieces embody the spiritual intensity of the Early Renaissance.","c.1417–1455","Early Renaissance","Italian Renaissance",old,"Fra Angelico frescoes"
Masaccio,Italian,1401,1428,"painting","Florentine painter who pioneered linear perspective and naturalistic figures, profoundly shaping Early Renaissance painting.","c.1422–1428","Early Renaissance","Italian Renaissance",old,"Masaccio frescoes"
Donatello (Donato di Niccolò di Betto Bardi),Italian,c.1386,1466,"sculpture","Early Renaissance sculptor whose innovative use of perspective and expressive realism transformed sculpture in Florence.","c.1406–1460","Early Renaissance","Italian Renaissance",old,"Donatello sculptures"
Giotto di Bondone,Italian,c.1267,1337,"painting, architecture","Proto-Renaissance painter and architect whose fresco cycles introduced unprecedented naturalism and emotional depth.","c.1290–1337","Proto-Renaissance","Italian Gothic",ancient,"Giotto frescoes"
Tintoretto (Jacopo Robusti),Italian,1518,1594,"painting","Venetian painter known for dramatic lighting and vigorous compositions that push late Renaissance toward Mannerism and Baroque.","c.1540–1594","Late Renaissance","Mannerism, Venetian school",old,"Tintoretto paintings"
Paolo Veronese,Italian,1528,1588,"painting","Venetian painter famed for grand, color-rich banquet scenes and complex architectural settings.","c.1550–1588","Late Renaissance","Venetian Renaissance",old,"Paolo Veronese paintings"
Nicolas Poussin,French,1594,1665,"painting","French classical Baroque painter whose carefully structured history paintings emphasize reason, order, and antique themes.","c.1620–1665","Baroque","French Classicism",old,"Nicolas Poussin paintings"
Claude Lorrain (Claude Gellée),French,1600,1682,"painting, drawing","French painter active in Rome, celebrated for idealized, light-filled landscapes that influenced later landscape traditions.","c.1625–1682","Baroque","Classical landscape",old,"Claude Lorrain landscapes"
Diego Velázquez,Spanish,1599,1660,"painting","Spanish court painter to Philip IV, renowned for psychologically complex portraits and masterpieces like Las Meninas.","c.1617–1660","Baroque","Spanish Golden Age",old,"Diego Velázquez paintings"
Francisco Goya,Spanish,1746,1828,"painting, printmaking","Spanish painter and printmaker whose work ranges from court portraiture to dark, visionary images that anticipate modern art.","c.1770–1828","Romanticism","Rococo, Enlightenment, Proto-Modern",1800s,"Francisco Goya paintings"
Bartolomé Esteban Murillo,Spanish,1617,1682,"painting","Spanish Baroque painter known for soft, sentimental religious scenes and genre images of children.","c.1640–1682","Baroque","Spanish Baroque",old,"Bartolomé Esteban Murillo paintings"
Georges de La Tour,French,1593,1652,"painting","French Baroque painter noted for candlelit nocturnes and quiet, contemplative religious scenes.","c.1620–1652","Baroque","Caravaggesque, French Baroque",old,"Georges de La Tour paintings"
Jacques-Louis David,French,1748,1825,"painting","Leading Neoclassical painter whose severe, moralizing history paintings became visual emblems of the French Revolution and Empire.","c.1770–1825","Neoclassicism","French Revolutionary art",1800s,"Jacques-Louis David paintings"
Jean-Auguste-Dominique Ingres,French,1780,1867,"painting, drawing","French Neoclassical painter famed for precise draftsmanship and idealized portraits and odalisques.","c.1800–1867","Neoclassicism","Academic art",1800s,"Jean-Auguste-Dominique Ingres paintings"
Eugène Delacroix,French,1798,1863,"painting","French Romantic painter whose dynamic color and brushwork influenced later modern movements.","c.1820–1863","Romanticism","French Romanticism",1800s,"Eugène Delacroix paintings"
Théodore Géricault,French,1791,1824,"painting","French Romantic painter best known for The Raft of the Medusa, a powerful critique of contemporary politics and human suffering.","c.1810–1824","Romanticism","French Romanticism",1800s,"Théodore Géricault paintings"
William Blake,British,1757,1827,"painting, printmaking, poetry","English artist-poet who created visionary, symbol-laden images and illuminated books outside academic conventions.","c.1780–1827","Romanticism","Visionary art",1800s,"William Blake illustrations"
Caspar David Friedrich,German,1774,1840,"painting","German Romantic landscape painter whose contemplative vistas explore spirituality, solitude, and the sublime.","c.1800–1840","Romanticism","German Romanticism",1800s,"Caspar David Friedrich landscapes"
J.M.W. Turner,British,1775,1851,"painting, watercolor","British painter celebrated for atmospheric seascapes and luminous color that pushed landscape toward abstraction.","c.1790–1851","Romanticism","Proto-Impressionism",1800s,"J.M.W. Turner paintings"
John Constable,British,1776,1837,"painting","English landscape painter known for naturalistic depictions of the English countryside and expressive skies.","c.1800–1837","Romanticism","English landscape",1800s,"John Constable landscapes"
Thomas Cole,American,1801,1848,"painting","English-born American painter who founded the Hudson River School, depicting dramatic American landscapes with moral overtones.","c.1820–1848","Hudson River School","American Romanticism",1800s,"Thomas Cole landscapes"
Winslow Homer,American,1836,1910,"painting, watercolor, illustration","American realist known for powerful marine scenes and depictions of rural life after the Civil War.","c.1860–1910","Realism","American Realism",1800s,"Winslow Homer paintings"
Gustave Courbet,French,1819,1877,"painting","French painter who championed Realism, depicting ordinary people and unidealized scenes on a monumental scale.","c.1840–1877","Realism","French Realism",1800s,"Gustave Courbet paintings"
Jean-François Millet,French,1814,1875,"painting, drawing","French painter of peasant life whose dignified rural scenes influenced later Realists and Impressionists.","c.1840–1875","Realism","Barbizon School",1800s,"Jean-François Millet paintings"
Honoré Daumier,French,1808,1879,"painting, printmaking, caricature","French artist and satirist known for biting political lithographs and expressive, socially engaged paintings.","c.1830–1879","Realism","Caricature, Social realism",1800s,"Honoré Daumier lithographs"
Claude Monet,French,1840,1926,"painting","French painter and key founder of Impressionism, celebrated for serial studies of light and atmosphere.","c.1860–1926","Impressionism","French Impressionism",modern,"Claude Monet paintings"
Pierre-Auguste Renoir,French,1841,1919,"painting","French Impressionist known for luminous scenes of leisure and intimate figure paintings.","c.1860–1919","Impressionism","French Impressionism",modern,"Pierre-Auguste Renoir paintings"
Edgar Degas,French,1834,1917,"painting, drawing, sculpture, printmaking","French artist associated with Impressionism, famed for innovative compositions of dancers, bathers, and modern life.","c.1860–1917","Impressionism","Realism, Modern life",modern,"Edgar Degas paintings"
Camille Pissarro,French,1830,1903,"painting","Danish-French painter and central Impressionist figure who later explored Neo-Impressionist techniques.","c.1860–1903","Impressionism","Neo-Impressionism",1800s,"Camille Pissarro paintings"
Alfred Sisley,British-French,1839,1899,"painting","Landscape-focused Impressionist whose subtle, atmospheric views exemplify plein-air practice.","c.1865–1899","Impressionism","French Impressionism",1800s,"Alfred Sisley landscapes"
Berthe Morisot,French,1841,1895,"painting","One of the leading female Impressionists, known for intimate domestic scenes and loose, luminous brushwork.","c.1868–1895","Impressionism","French Impressionism",1800s,"Berthe Morisot paintings"
Mary Cassatt,American,1844,1926,"painting, printmaking","American-born Impressionist active in Paris, renowned for tender depictions of mothers and children.","c.1870–1910","Impressionism","American Impressionism",modern,"Mary Cassatt paintings"
Édouard Manet,French,1832,1883,"painting","Pivotal modern painter whose bold handling of paint and contemporary subjects bridged Realism and Impressionism.","c.1850–1883","Realism","Proto-Impressionism, Modernism",1800s,"Édouard Manet paintings"
Paul Cézanne,French,1839,1906,"painting","Post-Impressionist whose structural approach to form and color laid foundations for Cubism and modern art.","c.1860–1906","Post-Impressionism","Modernism",modern,"Paul Cézanne paintings"
Vincent van Gogh,Dutch,1853,1890,"painting, drawing","Post-Impressionist whose emotionally charged color and brushwork created some of the most iconic images in Western art.","c.1880–1890","Post-Impressionism","Expressionism precursor",modern,"Vincent van Gogh paintings"
Paul Gauguin,French,1848,1903,"painting, sculpture, printmaking","Post-Impressionist who sought a primitive, symbolic style in Brittany and Tahiti, influencing Symbolism and modernism.","c.1870–1903","Post-Impressionism","Symbolism, Primitivism",modern,"Paul Gauguin paintings"
Georges Seurat,French,1859,1891,"painting, drawing","French Post-Impressionist who developed Pointillism, using tiny dots of color to create luminous compositions.","c.1880–1891","Post-Impressionism","Neo-Impressionism",modern,"Georges Seurat paintings"
Henri de Toulouse-Lautrec,French,1864,1901,"painting, printmaking, poster design","Post-Impressionist famed for posters and paintings of Parisian nightlife, especially Montmartre cabarets.","c.1885–1901","Post-Impressionism","Art Nouveau, Belle Époque",modern,"Henri de Toulouse-Lautrec posters"
Odilon Redon,French,1840,1916,"painting, drawing, printmaking","Symbolist artist whose dreamlike, often mystical imagery bridges 19th-century symbolism and early modernism.","c.1860–1916","Symbolism","Post-Impressionism",modern,"Odilon Redon paintings"
James McNeill Whistler,American-British,1834,1903,"painting, printmaking","American-born artist active in Britain, known for tonal harmonies and refined portraits such as Whistler’s Mother.","c.1855–1903","Aesthetic Movement","Tonalism",1800s,"James McNeill Whistler paintings"
John Singer Sargent,American-British,1856,1925,"painting, watercolor","Virtuoso portraitist whose cosmopolitan sitters and bravura brushwork define late 19th- and early 20th-century portraiture.","c.1875–1925","Realism","Impressionist influence",modern,"John Singer Sargent portraits"
Gustave Moreau,French,1826,1898,"painting","French Symbolist painter whose densely detailed, mythological scenes influenced the Symbolist and Surrealist imagination.","c.1850–1898","Symbolism","Academic Symbolism",1800s,"Gustave Moreau paintings"
Alphonse Mucha,Czech,1860,1939,"painting, illustration, graphic design","Czech artist whose flowing, decorative posters epitomize Art Nouveau style.","c.1890–1930","Art Nouveau","Poster art, Decorative arts",modern,"Alphonse Mucha posters"
Franz von Stuck,German,1863,1928,"painting, sculpture, graphic art","German Symbolist and co-founder of the Munich Secession, known for dark, mythic subjects.","c.1885–1928","Symbolism","Secessionist art",modern,"Franz von Stuck paintings"
Fernand Khnopff,Belgian,1858,1921,"painting, drawing, pastel","Belgian Symbolist whose enigmatic, introspective images helped define fin-de-siècle symbolism.","c.1880–1921","Symbolism","Belgian Symbolism",modern,"Fernand Khnopff paintings"
```

